SNo,Cluster Code,School Name,Region name,School category,School Management,Location,School type,Number of students,Boys,Girls,Male teachers,Female teachers
47,19170112803,BHAGINI NIBEDITA G.S.F.P. SCHOOL,,WARD-125,Primary,Department of Education,Urban,Co-Educational,17,13,30,2
48,19170112804,S.T. ELIZABED GIRLS PRY. SCHOO,,WARD-125,Primary,Department of Education,Urban,Co-Educational,44,81,125,0
49,19170112812,SRI SARADA VIDYATAN,,WARD-125,Primary,Department of Education,Urban,Co-Educational,21,32,53,1
50,19170113103,SARBAMANGALA AKBAR VIDYAPITH,,WARD-128,Primary,Department of Education,Urban,Co-Educational,26,25,51,3
51,19170113203,ARABINDA VIDYAPITH,,WARD-129,Primary,Department of Education,Urban,Co-Educational,29,19,48,1
52,19170101506,RASHTRA BHASA VIDYALAYA,,WARD-13,Primary,Department of Education,Urban,Co-Educational,68,63,131,4
53,19170101508,SARWODAYA VIDYALAYA G.S.F.P.,,WARD-13,Primary,Department of Education,Urban,Co-Educational,73,54,127,6
54,19170101509,SHREE BRAJ BHUSHAN VIDYALAYA,,WARD-13,Primary,Department of Education,Urban,Co-Educational,27,36,63,4
55,19170101513,ULTADANGA VIDYANIKETAN,,WARD-13,Primary,Department of Education,Urban,Co-Educational,9,10,19,1
,,,Cluster Code & Name:,1917010029,AZAD PRATH. VIDYANIKETAN,,,,,,,
56,19170114107,RAHATOON BIBI K.M.C.P. SCHOOL,,WARD-138,Primary,Local body,Urban,Co-Educational,91,131,222,3
57,19170108001,AZAD PRATHAMIK VIDYA NIKETAN,,WARD-77,Primary,Department of Education,Urban,Co-Educational,81,61,142,5
58,19170108011,BALIKA VIDYAYATAN,,WARD-77,Primary,Department of Education,Urban,Co-Educational,29,110,139,0
59,19170108002,BHUKAILASH PRATHAMIK SIKSHAYAT,,WARD-77,Primary,Department of Education,Urban,Co-Educational,39,30,69,1
60,19170108006,KAZI NAZRUL ISLAM PRI. SCHOOL,,WARD-77,Primary,Department of Education,Urban,Co-Educational,53,23,76,1
61,19170108009,KIDDER PORE URDU,SCHOOL,WARD-77,Primary,Department of Education,Urban,Boys only,67,0,67,5
62,19170108013,KIDDERPORE BALIKA VIDYAYATAN(ISECD,,WARD-77,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,267,267,0
"15, February 2013 02:38 PM",,,,,©NUEPA New Delhi,,,,,,Page 2 of 86,
State Name :,WEST BENGAL,,,District Code & Name :,1917,KOLKATA,,Total Schools in this district :,2723,,Year,:
63,19170108007,KIDDERPORE URDU GIRLS PRI.SEC.,,WARD-77,Primary,Department of Education,Urban,Girls only,0,114,114,0
64,19170108016,LAJPAT BALIKA VIDYALAYA,,WARD-77,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,576,576,0
65,19170108005,LAJPAT HINDI H.S.(PRY SEC.),,WARD-77,Primary,Department of Education,Urban,Co-Educational,340,379,719,15
66,19170108015,LAJPAT HINDI HIGH SCHOOL (H.S.,,WARD-77,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,540,0,540,14
67,19170108008,LAJPAT INSTITUTION(B.M.),,WARD-77,Primary,Department of Education,Urban,Co-Educational,35,25,60,0
68,19170108004,LAJPAT SHIKSHA SADAN,,WARD-77,Primary,Department of Education,Urban,Co-Educational,48,22,70,3
69,19170108003,MIRZA GHALIB URDU SCHOOL(BOYS),,WARD-77,Primary,Department of Education,Urban,Boys only,110,0,110,6
70,19170108010,MIRZA GHALIB URDU SCHOOL(GIRLS,,WARD-77,Primary,Department of Education,Urban,Girls only,0,179,179,0
71,19170108017,ST.BARNABAS HIGH SCHOOL(HS),,WARD-77,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,245,0,245,15
72,19170108024,ST.TERESA'S SECONDARY SCHOOL,,WARD-77,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Girls only,0,0,0,2
73,19170108151,KHIDDERPORE CHILD'S WORLD,,WARD-78,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,3
74,19170108144,LOYOALA HIGH SCHOOL (PRY),,WARD-78,Primary,Pvt. Unaided,Urban,Boys only,0,0,0,2
75,19170108152,LOYOLA HIGH SCHOOL,,WARD-78,Up. Primary with sec./H.sec,Pvt. Unaided,Urban,Boys only,0,0,0,5
,,Cluster Code & Name:,,1917010080,BAKUL BAGAN U.P SCHOOL II,,,,,,,
76,19170102726,SHREE B. K. VITHALNATH,VIDYA,WARD-24,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,121,0,121,20
77,19170107315,ST. JOHN'S DIOCESAN GIRLS H.S.,,WARD-70,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Aided,Urban,Girls only,0,2046,2046,2
78,19170107517,BHOWANIPUR MONORAMA INSTITUTIO,,WARD-72,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,6,6,0
79,19170107612,CHILDRENS HUT SCHOOL,,WARD-73,Primary,Pvt. Unaided,Urban,Co-Educational,40,25,65,0
80,19170109710,HERENDRA LEELA PATRANAVIS SCHO,,WARD-94,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,618,270,888,4
,,Cluster Code & Name:,,1917010032,BAKUL BAGAN U.P.SCHOOL,,,,,,,
81,19170105824,MAHAVIR INST OF EDU & RESEARCH,,WARD-55,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,0,0,0,2
82,19170106602,BAL SHIKSHA SADAN,,WARD-63,Primary,Department of Education,Urban,Co-Educational,66,54,120,5
83,19170106605,LA MARTINIERE FOR BOYS,,WARD-63,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Boys only,0,0,0,20
84,19170106613,PRETORIA HIGH SCHOOL,,WARD-63,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,128,49,177,3
85,19170106601,SHREE GANDHI VIDYA MANDIR,,WARD-63,Primary,Department of Education,Urban,Co-Educational,74,69,143,5
86,19170107317,BHOWANIPUR ARYA VIDYAMANDIR,,WARD-70,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Girls only,0,647,647,0
87,19170107323,CATHEDRAL MISSION H SCH (PRY SEC),,WARD-70,Primary,Pvt. Unaided,Urban,Boys only,220,0,220,0
88,19170107313,CATHEDRAL MISSION HIGH SCHOOL,,WARD-70,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,285,0,285,15
89,19170107316,HARTLEY'S HIGH SCHOOL,,WARD-70,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,650,171,821,4
90,19170107326,JULIEN DAY SCHOOL,,WARD-70,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,790,221,1011,22
91,19170107325,KHALSA ENGLISH HIGH SCHOOL,,WARD-70,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,502,260,762,8
92,19170107322,KHALSA HIGH SCHOOL,,WARD-70,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,303,10,313,17
93,19170107324,RAMRICK DAY PRIMARY SCHOOL,,WARD-70,Primary,Pvt. Unaided,Urban,Boys only,39,0,39,0
State Name :,WEST BENGAL,,,District Code & Name :,1917,KOLKATA,,Total Schools in this district :,,2723,Year,:
94,19170107305,RAMRICK INSTITUTION,,WARD-70,Primary,Department of Education,Urban,Co-Educational,47,59,106,0
95,19170107306,RAMRICK INSTITUTION HIGHER SEC,,WARD-70,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,167,0,167,13
96,19170107307,RAMRICK JARIABAI BALIKA VIDYALAYA,,WARD-70,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,70,70,0
97,19170107304,SIR ROMESH MITTER GIRLS' SCHOOL,,WARD-70,Primary,Department of Education,Urban,Girls only,0,203,203,0
98,19170107320,THE BHAWANIPUR GUJARATI EDU.S.SCH.,,WARD-70,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,325,209,534,8
99,19170107301,U.M.G.H.S.PRY. SEC.,,WARD-70,Primary,Department of Education,Urban,Girls only,0,731,731,0
100,19170107409,ADARSHA HINDI H.S. BHOWANIPUR,,WARD-71,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,633,0,633,17
101,19170107401,BHOWANIPUR G.PRY. SCHOOL,,WARD-71,Primary,Department of Education,Urban,Co-Educational,9,58,67,0
102,19170107412,GOKHALE MEMORIAL GIRLS' SCHOOL,,WARD-71,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Girls only,0,1165,1165,1
103,19170107402,GOPABANDHU,VIDYALAYA,WARD-71,Up. Primary with sec./H.sec,Department of Education,Urban,Co-Educational,54,69,123,7
104,19170107410,GOPABANDHU SHRAMAJIBI VIDYALAYA,,WARD-71,Primary,Department of Education,Urban,Co-Educational,64,61,125,8
105,19170107405,M.N NANDAN BOYS & GIRLS SCHOOL.,,WARD-71,Primary,Department of Education,Urban,Co-Educational,3,7,10,1
106,19170107515,ADARSH HINDI GIRLS,PRY SCH,WARD-72,Primary,Department of Education,Urban,Girls only,0,284,284,0
107,19170107521,ADARSH HINDI GIRLS HIGH SCHOO,,WARD-72,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,647,647,0
108,19170107514,ADARSH HINDI H.S. SCH (PRY),,WARD-72,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,21
109,19170107512,ADARSH VIDYA BHAWAN,,WARD-72,Primary,Department of Education,Urban,Co-Educational,43,21,64,1
110,19170107523,ADARSHA VIDYA BHAWAN,,WARD-72,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,194,0,194,9
111,19170107501,BAKUL BAGAN U.P. SCHOOL,,WARD-72,Primary,Department of Education,Urban,Co-Educational,17,16,33,0
112,19170107526,BELTALA GIRLS H.S. SCHOOL,,WARD-72,Primary,Department of Education,Urban,Girls only,0,403,403,0
113,19170107506,BELTALA GIRLS' HIGH SCHOOL (H.S),,WARD-72,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,780,780,0
114,19170107505,BELTALA GIRLS M.H.(P),,WARD-72,Primary,Department of Education,Urban,Girls only,0,74,74,0
115,19170107516,BELTALA GIRLS MORNING H.S.,,WARD-72,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,128,128,0
116,19170107511,CHAKRABARIA H.S. SCH(PRY SEC),,WARD-72,Primary,Department of Education,Urban,Boys only,60,0,60,0
117,19170107520,CHAKRABERIRA HIGH SCHOOL,,WARD-72,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,119,0,119,18
118,19170107508,LAXMI VIDYA BHAWAN,,WARD-72,Primary,Department of Education,Urban,Co-Educational,61,38,99,2
119,19170107510,MONORAMA INST,,WARD-72,Primary,Department of Education,Urban,Co-Educational,5,14,19,1
120,19170107509,SISHU VIDYA MANDIR,,WARD-72,Primary,Department of Education,Urban,Co-Educational,5,9,14,1
121,19170107507,SOUTH CAL NATIONAL SCHOOL,,WARD-72,Primary,Department of Education,Urban,Co-Educational,71,62,133,1
122,19170107519,SOUTH CALCUTTA NATIONAL,,WARD-72,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,124,0,124,7
123,19170107518,SUJATADEVI VIDY.MAN.H.S.F.GIRL,,WARD-72,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,86,86,0
124,19170107524,THE MODEL HIGH,SCHOOL,WARD-72,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,106,0,106,9
125,19170107504,THE MODEL HS.SHCOOL (PRY SEC),,WARD-72,Primary,Department of Education,Urban,Co-Educational,14,14,28,1
126,19170107531,THE NEW HORIZON HIGH SCHOOL,,WARD-72,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,191,85,276,1
"15, February 2013 02:38 PM",,,,,©NUEPA New Delhi,,,,,,Page 4 of 86,
State Name :,WEST BENGAL,,District Code & Name :,1917,KOLKATA,,Total Schools in this district :,,2723,Year,:,2011-12
127,19170107502,URBAN JR. BASIC SCHOOL,WARD-72,Primary,Department of Education,Urban,Co-Educational,36,21,57,1,3
128,19170107609,BHOWANIPUR GIRL'S H. SCHOOL,WARD-73,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,100,100,0,16
129,19170107608,MITRA INST. BHOWANIPUR BR(PRY. SEC),WARD-73,Primary,Un-Recognised,Urban,Boys only,247,0,247,6,12
130,19170107604,MITRA INSTITUTION BHAWANIPUR B,WARD-73,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,616,0,616,33,1
131,19170107601,SOUTH CAL GIRLS PRY SCHOOL,WARD-73,Primary,Department of Education,Urban,Co-Educational,16,25,41,0,2
132,19170107610,SOUTH SUBURBAN JUNIOR SCHOOL,WARD-73,Primary,Pvt. Unaided,Urban,Boys only,61,0,61,0,8
133,19170107606,SOUTH SUBURBAN SCHOOL (MAIN),WARD-73,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,334,0,334,28,3
134,19170107602,SOUTH SUBURBAN SCHOOL (MAIN) PRY,WARD-73,Primary,Department of Education,Urban,Boys only,422,0,422,2,12
135,19170109305,UNITED MISSIONARY (G) H.S(SEC),WARD-90,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,849,849,0,23
136,19170109703,KALA BAGAN GIRLS PRY SCHOOL,WARD-94,Primary,Department of Education,Urban,Co-Educational,14,12,26,1,1
,,Cluster Code & Name:,1917010044,BANASHREE VIDYAMANDIR,,,,,,,,
137,19170101635,ADARSH VIDYALAYA FOR GIRLS,WARD-14,Upper Primary only,Department of Education,Urban,Girls only,0,44,44,0,2
138,19170101617,ADARSHA VIDYAPITH,WARD-14,Primary,Department of Education,Urban,Co-Educational,74,69,143,1,5
139,19170101606,BANASREE VIDYAMANDIR,WARD-14,Primary,Department of Education,Urban,Co-Educational,12,9,21,2,0
140,19170101614,BIPLABI KHUDIRAM PALLY GSFP SC,WARD-14,Primary,Department of Education,Urban,Co-Educational,50,65,115,1,3
141,19170101628,EASTCALCUTTA NATIONAL PRI SCHO,WARD-14,Primary,Department of Education,Urban,Co-Educational,124,34,158,3,6
142,19170101616,JANAKALYAN PRIMARY SCHOOL,WARD-14,Primary,Department of Education,Urban,Co-Educational,16,17,33,1,2
143,19170101633,MURARI PUKUR GOVT. HS. SCH,WARD-14,Pr. with Up.Pr. & sec./H.Sec.,Department of Education,Urban,Co-Educational,837,0,837,26,21
144,19170101626,SUBHAS VIDYAMANDIR,WARD-14,Primary,Department of Education,Urban,Co-Educational,61,61,122,5,0
145,19170101609,VIVEKANANDA VIDYAMANDIR,WARD-14,Primary,Department of Education,Urban,Co-Educational,20,17,37,1,2
146,19170103405,CHILDREN'S PARADISE GSFP(D)SCH,WARD-31,Primary,Department of Education,Urban,Co-Educational,52,45,97,3,1
147,19170103406,CHILDREN'S PHRADISE GSFP(MS,WARD-31,Primary,Department of Education,Urban,Co-Educational,30,19,49,2,0
148,19170103404,GYAN PEETH SCHOOL,WARD-31,Primary,Department of Education,Urban,Co-Educational,37,43,80,2,0
149,19170103437,GYAN PEETH SCHOOL,WARD-31,Upper Primary only,Pvt. Unaided,Urban,Co-Educational,30,48,78,2,2
150,19170103438,KANKURGACHI EDUCARE INSTITUTE,WARD-31,Primary,Pvt. Unaided,Urban,Co-Educational,24,17,41,0,5
151,19170103441,NEW NATIONAL HIGH SCHOOL (PRY),WARD-31,Primary,Pvt. Unaided,Urban,Co-Educational,222,147,369,3,5
152,19170103429,PURBA KALIKATA ADARSHA VIDYAMANDIR,WARD-31,Up. Primary with sec./H.sec,Department of Education,Urban,Co-Educational,73,64,137,8,4
153,19170103402,PURBA KALIKATA ORIYA SHIKSHA N,WARD-31,Primary,Department of Education,Urban,Co-Educational,74,47,121,9,1
154,19170103431,SHRI JANATA HINDI VID,WARD-31,Primary,Department of Education,Urban,Co-Educational,55,62,117,5,0
155,19170103412,SIKSHA NIKETAN VIDHYALAYA,WARD-31,Primary,Department of Education,Urban,Co-Educational,38,40,78,3,3
156,19170103415,SISHU MAHAL F.P SCHOOL,WARD-31,Primary,Department of Education,Urban,Co-Educational,11,48,59,1,4
157,19170103420,SISHU MAHAL GIRLS HS. SCHOOL,WARD-31,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,291,291,0,11
158,19170103401,SISHU VIDYA MANDIR,WARD-31,Primary,Department of Education,Urban,Co-Educational,47,54,101,1,3
State Name :,WEST BENGAL,,District Code & Name :,1917,KOLKATA,,Total Schools in this district :,,2723,Year,:,2011-12
159,19170103408,SREE LAXAMI VIDYALAYA,WARD-31,Primary,Department of Education,Urban,Co-Educational,28,15,43,1,3
160,19170103409,SRI AJANTA HINDI VID,WARD-31,Primary,Department of Education,Urban,Co-Educational,19,32,51,3,0
161,19170103411,SUBHAS VIDYAPITH,WARD-31,Primary,Department of Education,Urban,Co-Educational,82,102,184,5,4
162,19170103440,VIDYAPATI S.S.K.,WARD-31,Primary,Local body,Urban,Co-Educational,38,32,70,0,2
,,Cluster Code & Name:,1917010042,BANIBITHI SISHU O PRA.VID,,,,,,,,
163,19170110602,VIVEKANANDA VIDYAPITH,WARD-103,Primary,Department of Education,Urban,Co-Educational,6,5,11,1,2
164,19170103017,D.L.ROY BIDYAPITH PRIMARY,WARD-27,Primary,Department of Education,Urban,Co-Educational,10,12,22,1,1
165,19170106037,SISHU SHRAMIK VIDYAPITH,WARD-57,Primary,Others,Urban,Co-Educational,17,33,50,0,2
166,19170109401,JAGADISH VIDYAPITH,WARD-91,Primary,Department of Education,Urban,Co-Educational,91,46,137,7,4
167,19170109530,ADARSHA SIKSHAYATAN G.S.F.P,WARD-92,Primary,Department of Education,Urban,Co-Educational,34,13,47,1,4
168,19170109507,BAPUJI SISHU VIDYAPITH-2,WARD-92,Primary,Department of Education,Urban,Co-Educational,14,12,26,1,3
169,19170109630,JADAVPUR GIRLS HIGH SCHOOL,WARD-93,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,164,164,0,12
170,19170109713,TOLLYGUNGE ENGLISH SCHOOL (DAY),WARD-94,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Urban,Co-Educational,29,22,51,0,4
171,19170109928,BANIBITHI SISHU-O-PRIMARY SCHOOL,WARD-96,Primary,Department of Education,Urban,Co-Educational,13,7,20,1,0
172,19170109925,BAPUJI NAGAR MADHY.BALIKA VDL.,WARD-96,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,11,11,0,8
173,19170109913,BAPUJI NAGAR SISHU SHIKSHLAYA,WARD-96,Primary,Department of Education,Urban,Co-Educational,28,16,44,1,5
174,19170109916,JADAVPUR HIGH SCHOOL,WARD-96,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,643,0,643,35,10
175,19170109909,JADAVPUR HIGH SCHOOL,WARD-96,Primary,Department of Education,Urban,Co-Educational,182,67,249,0,10
176,19170109918,JADAVPUR MADHYAMIK VIDYAL(GIRL,WARD-96,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,95,95,0,7
177,19170109915,JADAVPUR S.U.B. VIDYALAYA,WARD-96,Up. Primary with sec./H.sec,Department of Education,Urban,Boys only,19,0,19,6,4
178,19170109912,NABAMUKUL PRA. VIDYALAYA,WARD-96,Primary,Department of Education,Urban,Co-Educational,17,29,46,0,4
179,19170109907,PURNACHANDRA INSTITUTION,WARD-96,Primary,Department of Education,Urban,Co-Educational,7,4,11,0,3
180,19170109906,SAKTHIGARH G.S.F.P.SCHOOL,WARD-96,Primary,Department of Education,Urban,Co-Educational,23,25,48,1,4
181,19170109917,SAKTIGARH HIGH SCHOOL,WARD-96,Up. Primary with sec./H.sec,Department of Education,Urban,Co-Educational,15,11,26,6,3
182,19170109910,SAMMILATA UDBASU BALAK VIDYALAYA,WARD-96,Primary,Department of Education,Urban,Co-Educational,3,3,6,1,2
183,19170110126,DE PAUL SCHOOL,WARD-98,Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,1,6
184,19170110123,NETAJI HINDI VIDYALAYA,WARD-98,Primary with Upper Primary,Pvt. Unaided,Urban,Co-Educational,0,0,0,3,1
,,Cluster Code & Name:,1917010028,BANKIM GHOSH MEM.GIRLS HS,,,,,,,,
185,19170107801,WATGUNGE G.S.F.P. SCHOOL,WARD-75,Primary,Department of Education,Urban,Co-Educational,85,86,171,13,0
186,19170107912,BANKIM GHOSH MEM.GIRLS H.SCHOO,WARD-76,Up. Primary with sec./H.sec,Department of Education,Urban,Girls only,0,361,361,0,26
187,19170107903,BANKIMGHOSH MEM. GIRL HS PRY S,WARD-76,Primary,Department of Education,Urban,Co-Educational,29,63,92,1,3
188,19170107904,KABITIRTH VIDYALAYA (MORNING),WARD-76,Primary,Department of Education,Urban,Co-Educational,80,69,149,6,3
189,19170107924,KABITIRTHA HIGH SCHOOL,WARD-76,Upper Primary only,Pvt. Unaided,Urban,Co-Educational,0,0,0,4,0
State Name :,WEST BENGAL,,District Code & Name :,1917,KOLKATA,,Total Schools in this district :,,2723,Year,:,2011-12
190,19170107905,KIDDERPORE BANGA VIDYALAYA BOY,WARD-76,Primary,Department of Education,Urban,Co-Educational,32,21,53,0,3
