"",School,,School,,School,Location &,,,Enrolment,,,,Teachers,Class
33,"07010100503 JAHANGIRPURI,BLOCK D-SKV",005-BHALASWA JAHAPNrG. wIRitPh UURpI.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,216,2000,2216,1,,51 52,39
34,07010100703 MUKHMAIL PUR-G(CO-ED)SSS,007-BURARI Up. Primary with sec./H.sec,,,Department of EducatioRnural,Co-Educational,,268,86,354,7,,5 12,15
35,07010100701 QADIPUR-GBSS,007-BURARI Up. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,907,0,907,26,,0 26,19
36,07010100702 QADIPUR-GGSS,007-BURARI Up. Primary with sec./H.sec,,,Department of EducatioRnural,Girls only,,0,923,923,0,,25 25,16
37,07010101002 DHAKKA-GBMS,010-TIMARPUR Upper Primary only,,,Department of EducatioUnrban Boys only,,,432,0,432,13,,0 13,14
38,07010101001 DHAKKA-GGMS,010-TIMARPUR Upper Primary only,,,Department of EducatioUnrban Girls only,,,0,573,573,0,,20 20,14
39,07010101101 DR.MUKHARJEE NAGAR-SV,011-MUKHERJI NAGARUp. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,687,0,687,15,,9 24,24
40,07010101204 DHAKKA-GBSSS,012-G.T.B. NAGAR Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,370,0,370,13,,0 13,17
41,07010101203 DHAKKA-SKV,012-G.T.B. NAGAR Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,78,476,554,0,,21 21,14
42,07010101205 GURU TEG BAHADUR NAGAR-GBSSS012-G.T.B. NAGAR,Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,661,0,661,18,,1 19,18
43,07010101202 GURU TEG BAHADUR NAGAR-SKV,012-G.T.B. NAGAR Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,306,979,1285,3,,30 33,23
44,07010101201 VIJAY NAGAR-SV,012-G.T.B. NAGAR Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,38,336,374,4,,13 17,15
45,07010101301 GOPAL PARK-G(CO-ED)SSS,013-DHIRPUR Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,519,387,906,13,,5 18,22
46,"07010101407 ADARSH NAGAR, NO.1-GBSSS",014-ADARSH NAGAR Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,882,0,882,24,,0 24,25
47,"07010101403 ADARSH NAGAR, NO.2-GBSSS",014-ADARSH NAGAR Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,1019,0,1019,17,,0 17,32
48,07010101405 ADARSH NAGAR-GGSSS,014-ADARSH NAGAR Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,1023,1023,0,,27 27,28
49,07010101406 ADARSH NAGAR-SKV,014-ADARSH NAGAR Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,435,1160,1595,0,,45 45,42
50,07010101401 AZADPUR VILLAGE-GBSS,014-ADARSH NAGAR Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,819,0,819,13,,0 13,18
51,07010101402 AZADPUR VILLAGE-GGSS,014-ADARSH NAGAR Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,702,702,0,,17 17,18
52,07010101404 MAJLIS PARK-GGSS,014-ADARSH NAGAR Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,418,418,0,,7 7,10
53,"07010101501 JAHANGIRPURI, BLOCK A-GBSSS",015-SARAI PEPAL THAULpL.A Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,1560,0,1560,21,,0 21,30
54,"07010101601 JAHANGIRPURI, BLOCK A-GGSSS",016-JAHANGIRPURI - Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,1503,1503,2,,23 25,35
55,07010101704 BADLI-GBSSS,017-SAMAYPUR BADLUI p. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,856,0,856,24,,0 24,27
56,07010101703 BADLI-SKV,017-SAMAYPUR BADLPI r. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,192,1134,1326,0,,36 36,37
57,"07010101701 PITAMPURA, BLOCK SU-GBSSS",017-SAMAYPUR BADLUI p. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,503,0,503,11,,1 12,17
58,07010101702 SAMAIPUR-GGSSS,017-SAMAYPUR BADLUI p. Primary with sec./H.sec,,,Department of EducatioRnural,Girls only,,0,1165,1165,0,,29 29,34
59,07010101802 LIBASPUR-GBSS,018-LIBASPUR Up. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,1140,0,1140,21,,0 21,25
60,07010101801 LIBASPUR-GGSS,018-LIBASPUR Up. Primary with sec./H.sec,,,Department of EducatioRnural,Girls only,,0,1152,1152,0,,27 27,23
61,07010101803 SIRASPUR-G(CO-ED)SSS,018-LIBASPUR Up. Primary with sec./H.sec,,,Department of EducatioRnural,Girls only,,0,638,638,1,,15 16,16
62,07010101804 SIRASPUR-GBSSS,018-LIBASPUR Up. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,391,0,391,7,,3 10,11
63,"07010101902 GBSS NO-2, JJ COLONY BHALSWA DA0I1R9Y-BHALASWA",Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,345,0,345,6,,1 7,9
64,"07010101901 JAHANGIRPURI, BLOCK K-GGSSS",019-BHALASWA Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,2119,2119,0,,28 28,44
"",School,,School,,School,Location  &,,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,Category,,Management,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code & Name: 070101,DOE,Total Schools in this block :,,218,,,,,,,,,
"",Cluster Code  & Name:,0701010001 DEFAULT,,,,,,,,,,,,
65,"07010102105 GBSSS, ROHINI, SECTOR 16, POCKET0 2A1-ROHINI",Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,785,0,785,6,,10 16,21
66,07010102102 PRASHANT VIHAR-SKV,021-ROHINI Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,187,548,735,0,,23 23,26
67,"07010102103 ROHINI, SECTOR 11-G(CO-ED)SSS",021-ROHINI Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,369,328,697,6,,15 21,19
68,"07010102101 SEC16,ROHINI-PKT A-GS(CO-ED)VS",021-ROHINI Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,209,731,940,0,,32 32,28
69,07010102104 SEC9ROHINI-SV(SAHEEDCAPT.S.DAH0I2Y1A-ROHINI,Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,655,581,1236,8,,29 37,32
70,07010102205 RITHALA-GBSSS,022-RITHALA Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,1214,0,1214,35,,3 38,35
71,07010102203 RITHALA-SKV,022-RITHALA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,354,1827,2181,0,,57 57,60
72,"07010102204 ROHINI, AVANTIKA, SECTOR 1-GBSS 022-RITHALA",Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,938,0,938,23,,4 27,29
73,"07010102202 ROHINI, SECTOR 11-RPVV",022-RITHALA Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,131,60,191,6,,8 14,15
74,"07010102206 ROHINI, SECTOR 6-SV",022-RITHALA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,987,697,1684,22,,30 52,43
75,"07010102303 ROHINI, AVANTIKA, SECTOR 1-GBSSS023-BUDH VIHAR",Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,631,0,631,21,,0 21,21
76,"07010102301 ROHINI, AVANTIKA, SECTOR 1-GGSS023-BUDH VIHAR",Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,1259,1259,0,,24 24,29
77,"07010102302 ROHINI, AVANTIKA, SECTOR 1-SKV",023-BUDH VIHAR Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,354,778,1132,0,,44 44,38
78,07010102504 POOTH KALAN ROHINI EXT SEC 20-GB02S5S-PSOOTH KALA,Up. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,1224,0,1224,26,,0 26,28
79,07010102503 POOTH KALAN-SBV,025-POOTH KALA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Boys only,,,1621,0,1621,32,,0 32,41
80,07010102502 POOTH KALAN-SKV,025-POOTH KALA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Girls only,,0,1500,1500,1,,41 42,38
81,"07010102501 ROHINIEXTN.,SEC-20-G(CO-ED)SSS",025-POOTH KALA Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,1198,1198,2,,21 23,26
82,07010102603 PRAHALAD PUR-SBV,026-SAHIBABAD DAULPArT. wPiUthR Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Boys only,,910,0,910,23,,0 23,22
83,"07010102601 SHABAD DAULATPUR,G CO-ED S SCH0O26O-SLAHIBABAD DAULUApT. PUriRmary with sec./H.sec",,,,Department of EducatioRnural,Co-Educational,,340,289,629,8,,2 10,22
84,07010102602 SHAHABAD DAIRY-GBSS,026-SAHIBABAD DAULUApT. PUriRmary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,1509,0,1509,20,,0 20,25
85,07010102703 BARWALA-G(CO-ED)SS,027-BEGUMPUR Up. Primary with sec./H.sec,,,Department of EducatioRnural,Co-Educational,,117,62,179,5,,6 11,10
86,"07010102701 BEGAMPUR, GGSS",027-BEGUMPUR Up. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,1223,1223,0,,23 23,28
87,07010102702 BEGUMPUR-GBSS,027-BEGUMPUR Up. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,1123,0,1123,11,,0 11,28
88,07010102705 POOTH KHURD-GBSSS,027-BEGUMPUR Up. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,285,0,285,11,,0 11,10
89,07010102704 POOTHKHURD-SKV (RAJA RAMMOHA0N2 7R-OBEYGUMPUR,Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,172,440,612,2,,18 20,21
90,07010102806 AUCHANDI-SV,028-BAWANA Up. Primary with sec./H.sec,,,Department of EducatioRnural,Co-Educational,,124,75,199,8,,3 11,12
91,07010102805 BAWANA JJ CLY NO.1 GOVT. CO-ED S0E28C-BAWANA,Up. Primary with sec./H.sec,,,Department of EducatioRnural,Girls only,,0,1167,1167,7,,10 17,16
92,07010102804 BAWANA JJ CLY NO.2 GOVT. CO-ED S0E2C8-BAWANA,Up. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,1117,0,1117,10,,3 13,15
93,07010102812 BAWANA-GBSSS,028-BAWANA Up. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,965,0,965,17,,0 17,25
94,07010102807 BAWANA-SKV (RAVI SHANKAR),028-BAWANA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,188,749,937,3,,28 31,28
95,07010102803 CHANDPUR MAJRA-SV,028-BAWANA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,111,94,205,6,,4 10,14
96,07010102808 DARIYAPUR KALAN-SKV (UPDESH KA0U2R8-BAWANA,Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,47,342,389,2,,14 16,18
"",School,,School,,School,Location  &,,,Enrolment,,,,Teachers,,Class
"",Village NameCode School Name,,Category,,Management,Type of School,,,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,,
"",Block Code & Name: 070101,DOE,Total Schools in this block :,,218,,,,,,,,,,
"",Cluster Code  & Name:,0701010001 DEFAULT,,,,,,,,,,,,,
97,07010102810 HAREWALI-G(CO-ED)SS,028-BAWANA Up. Primary with sec./H.sec,,,Department of EducatioRnural,Co-Educational,,80,57,137,5,,1 6,,8
98,07010102813 KATEWARA-GBSSS,028-BAWANA Up. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,238,0,238,7,,0 7,,10
99,07010102814 NANGAL THAKRAN-SBV,028-BAWANA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,229,11,240,14,,0 14,,12
100,07010102809 PRAHALAD PUR-SKV,028-BAWANA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Girls only,,0,886,886,1,,21 22,,24
101,07010102801 PUNNJAB KHORE-G(CO-ED)MS,028-BAWANA Upper Primary only,,,Department of EducatioRnural,Co-Educational,,107,70,177,8,,3 11,,6
102,07010102802 QUTABGARH-SKV,028-BAWANA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,209,612,821,4,,26 30,,26
103,07010102811 SHAHABAD DAIRY-G(CO-ED)SSS,028-BAWANA Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,6,1374,1380,11,,25 36,,36
104,07010102901 JAUNTI-SV,029-KARALA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,182,168,350,8,,5 13,,15
105,07010102904 KANJHAWALA-SKV,029-KARALA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,282,645,927,1,,26 27,,25
106,07010102902 KARALA-GBSSS,029-KARALA Up. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,518,0,518,14,,0 14,,15
107,07010102903 KARALA-SKV,029-KARALA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,190,868,1058,0,,31 31,,28
108,07010102905 LADPUR-GBMS,029-KARALA Upper Primary only,,,Department of EducatioUnrban Boys only,,,226,0,226,16,,0 16,,6
109,07010103005 GHEVRA-SV,030-MUNDKA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,294,274,568,7,,11 18,,17
110,07010103008 MUBARAKPUR DABAS-GBSS,030-MUNDKA Up. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,1064,0,1064,18,,0 18,,19
111,07010103006 MUBARIKPUR DABAS-GGSS,030-MUNDKA Up. Primary with sec./H.sec,,,Department of EducatioRnural,Girls only,,0,1200,1200,0,,17 17,,17
112,07010103004 NIZAM PUR-G(CO-ED)SS,030-MUNDKA Up. Primary with sec./H.sec,,,Department of EducatioRnural,Co-Educational,,83,80,163,7,,2 9,,10
113,07010103007 RANI KHERA-S(CO-ED)V,030-MUNDKA Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,624,472,1096,6,,15 21,,19
114,"07010103002 SAWADA(GHEVRA)A-BLK,S(CO-ED)S 030-MUNDKA",Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,235,187,422,9,,3 12,,12
115,"07010103001 SAWADA(GHEVRA)H-BLK,S(CO-ED)M030-MUNDKA",Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,276,275,551,8,,3 11,,12
116,"07010103003 SAWADA(GHEVRA)JJ-B-BLK,S(CO-ED030-MUNDKA",Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,242,226,468,9,,2 11,,10
117,07010103403 NITHARI VILLAGE-GBSSS,034-NITHARI Up. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,1707,0,1707,39,,0 39,,37
118,07010103401 NITHARI-GBMS,034-NITHARI Up. Primary with sec./H.sec,,,Department of EducatioRnural,Boys only,,2201,0,2201,14,,0 14,,28
119,07010103402 NITHARI-SKV,034-NITHARI Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioRnural,Co-Educational,,360,2520,2880,5,,37 42,,36
120,07010103501 NITHARI-GGMS,035-KIRARI SULEMANU NpG. PRrimary with sec./H.sec,,,Department of EducatioRnural,Girls only,,0,2431,2431,3,,22 25,,30
121,"07010103701 SULTANPURI, BLOCK A-GBSS",037-SULTANPURI EASUTp. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,985,0,985,10,,0 10,,21
122,"07010103706 SULTANPURI, BLOCK BC-GBSSS",037-SULTANPURI EASUTp. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,517,0,517,15,,0 15,,19
123,"07010103702 SULTANPURI, BLOCK BC-GGSS",037-SULTANPURI EASUTp. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,1035,1035,0,,21 21,,23
124,"07010103704 SULTANPURI, BLOCK C-SKV",037-SULTANPURI EASPTr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,291,1248,1539,1,,39 40,,33
125,"07010103705 SULTANPURI, BLOCK H-GBSSS",037-SULTANPURI EASUTp. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,960,0,960,28,,0 28,,21
126,"07010103703 SULTANPURI, BLOCK H-SKV",037-SULTANPURI EASPTr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,426,2183,2609,2,,27 29,,43
127,"07010103708 SULTANPURI,BLK-C,S.S.S.V",037-SULTANPURI EASPTr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,496,762,1258,21,,18 39,,29
128,07010103707 SULTANPURI-GBSSS,037-SULTANPURI EASUTp. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,720,0,720,20,,0 20,,22
"",School,,School,,School,Location  &,,,Enrolment,,,,Teachers,Class
"",Village NameCode School Name,,Category,,Management,Type of School,,,,,,,,rooms
"",,,,,,,,Boys,Girls,Total,Male,,Female Total,
"",Block Code  & Name: 070101,DOE,,Total Schools in this block :,218,,,,,,,,,
"",Cluster Code  & Name:,0701010001 DEFAULT,,,,,,,,,,,,
129,"07010103801 MANGOLPURI, BLOCK H-SKV",038-MANGOLPURI NOPRrT. Hwith Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,426,1096,1522,1,,34 35,37
130,"07010103802 MANGOLPURI, BLOCK Y-GBSS",038-MANGOLPURI NOURpT.H Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,676,0,676,16,,0 16,15
131,07010103905 SULTANPUR MAJRA-G(CO-ED)MS,039-SULTANPUR MAJURpAper Primary only,,,Department of EducatioUnrban Co-Educational,,,183,146,329,9,,6 15,8
132,"07010103904 SULTANPURI,  BLOCK P-G(CO-ED)SS039-SULTANPUR MAJURpA. Primary with sec./H.sec",,,,Department of EducatioUnrban Co-Educational,,,538,387,925,10,,11 21,24
133,"07010103903 SULTANPURI, BLOCK D-GBSS",039-SULTANPUR MAJURpA. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,428,0,428,19,,0 19,11
134,"07010103902 SULTANPURI, BLOCK D-GGMS",039-SULTANPUR MAJURpA. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,705,705,0,,19 19,10
135,"07010103901 SULTANPURI, BLOCK F-GGSSS",039-SULTANPUR MAJURpA. Primary with sec./H.sec,,,Department of EducatioUnrban Girls only,,,0,709,709,0,,13 13,17
136,"07010104001 SULTANPURI, BLOCK E-GBSS",040-SULTANPURI SOUUTpH. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,805,0,805,11,,0 11,20
137,"07010104002 SULTANPURI, BLOCK F-GBSS",040-SULTANPURI SOUUTpH. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,530,0,530,12,,0 12,16
138,"07010104501 ROHINI, SECTOR 2-G(CO-ED)SSS",045-ROHINI SOUTH Up. Primary with sec./H.sec,,,Department of EducatioUnrban Co-Educational,,,594,298,892,10,,16 26,27
139,"07010104502 ROHINI, SECTOR 3-SV",045-ROHINI SOUTH Pr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,1003,589,1592,18,,32 50,47
140,"07010104602 MANGOLPURI, BLOCK D-SKV (KAMDH0E4N6-UMANGOLPURI EASPTr. with Up.Pr. & sec./H.Sec.",,,,Department of EducatioUnrban Co-Educational,,,422,660,1082,1,,40 41,31
141,"07010104601 MANGOLPURI, BLOCK P-GBSS",046-MANGOLPURI EASUTp. Primary with sec./H.sec,,,Department of EducatioUnrban Boys only,,,628,0,628,17,,0 17,18
142,"07010104603 MANGOLPURI,BLK-C,S(CO-ED)S.S.V",046-MANGOLPURI EASPTr. with Up.Pr. & sec./H.Sec.,,,Department of EducatioUnrban Co-Educational,,,509,912,1421,21,,21 42,41
143,"07010104604 MANGOLPURI,PT II-GBSSS(KAMDHEN0U46-MANGOLPURI EASUTp. Primary with sec./H.sec",,,,Department of EducatioUnrban Boys only,,,392,0,392,13,,1 14,16
