,Cluster Code,School Name,Region name,School category,School Management,Location,School type,Number of students,Boys,Girls,Male teachers,Female teachers,,,,
81,27250108104,BHIMASHANKAR VIDYA MANDIR,SHINOLI,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,189,212,401,10,1,,,,
82,27250108102,ZPPS MAIAMBAWADI,SHINOLI,Primary,Local body,Rural,Co-Educational,11,16,27,1,1,,,,
83,27250108101,ZPPS SHINOLI,SHINOLI,Primary,Local body,Rural,Co-Educational,125,115,240,2,6,,,,
84,27250108103,ZPPS THAKARWADI,SHINOLI,Primary,Local body,Rural,Co-Educational,11,13,24,1,1,,,,
85,27250109802,ZPPS DIMBEVASAHAT,SUPEGHAR,Primary,Local body,Rural,Co-Educational,14,7,21,2,0,,,,
86,27250109801,ZPPS SUPEGHAR,SUPEGHAR,Primary,Local body,Rural,Co-Educational,7,5,12,1,1,,,,
87,27250108202,ZPPS PHDALEWADI,UGALEWADI/PHADALEWADI,Primary,Local body,Rural,Co-Educational,4,8,12,1,1,,,,
88,27250108201,ZPPS UGALEWADI,UGALEWADI/PHADALEWADI,Primary with Upper Primary,Local body,Rural,Co-Educational,33,23,56,1,3,,,,
89,27250113601,ZPPS APATI,APATI,Primary,Local body,Rural,Co-Educational,7,7,14,1,0,,,,
90,27250106601,ZPPS CHAPTEWADI,CHAPTEWADI,Primary,Local body,Rural,Co-Educational,10,8,18,2,0,,,,
91,27250108405,SHRI HANUMAN VIDY GANGAPUR,GANGAPUR BU,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,101,78,179,5,2,,,,
92,27250108401,ZPPS GANGAPUR BU,GANGAPUR BU,Primary,Local body,Rural,Co-Educational,23,20,43,1,1,,,,
93,27250108402,ZPPS KALEWADI,GANGAPUR BU,Primary,Local body,Rural,Co-Educational,4,7,11,0,2,,,,
94,27250108404,ZPPS THAKARWADI,GANGAPUR BU,Primary,Local body,Rural,Co-Educational,12,12,24,2,0,,,,
95,27250108502,ZPPS GADEKARWADI,GANGAPUR KHU,Primary,Local body,Rural,Co-Educational,15,18,33,2,0,,,,
96,27250108501,ZPPS GANGAPUR KHU,GANGAPUR KHU,Primary,Local body,Rural,Co-Educational,25,32,57,3,0,,,,
97,27250108301,ZPPS KANSE,KANSE,Primary,Local body,Rural,Co-Educational,16,15,31,0,2,,,,
98,27250109101,ZPPS MAHALUNGE TARFE GHODA,MHALUNGE TARPHE GHODA,Primary,Local body,Rural,Co-Educational,5,7,12,2,0,,,,
99,27250107803,ST DYANESHWAR VIDY CHAS,CHAS,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,152,125,277,5,3,,,,
100,27250107801,ZPPS CHAS,CHAS,Primary,Local body,Rural,Co-Educational,55,30,85,2,1,,,,
101,27250107802,ZPPS GANESHWADI (CHAS),CHAS,Primary,Local body,Rural,Co-Educational,20,19,39,2,0,,,,
102,27250107302,JAGDISHCHANDRA MAHINDRA HIGH S,CHINCHOLI (KO),Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,113,77,190,6,3,,,,
103,27250107301,ZPPS CHINCHOLI,CHINCHOLI (KO),Primary,Local body,Rural,Co-Educational,43,41,84,0,3,,,,
104,27250107102,BHAIRAVNATH VIDY GIRWALI,GIRWALI,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,73,78,151,7,0,,,,
105,27250107101,ZPPS GIRWALI,GIRWALI,Primary,Local body,Rural,Co-Educational,30,52,82,2,2,,,,
106,27250107901,ZPPS KADEWADI,KADEWADI,Primary,Local body,Rural,Co-Educational,18,9,27,2,0,,,,
107,27250107201,ZPPS RAMWADI,RAMWADI,Primary,Local body,Rural,Co-Educational,11,7,18,0,2,,,,
108,27250108003,ZPPS JAMBHALEMALA,THAKARWADI,Primary,Local body,Rural,Co-Educational,22,17,39,2,0,,,,
109,27250108002,ZPPS KOMBADWADI,THAKARWADI,Primary,Local body,Rural,Co-Educational,8,4,12,0,2,,,,
110,27250108004,ZPPS NUMBERWADI THAKERWADI CHAS,THAKARWADI,Primary with Upper Primary,Local body,Rural,Co-Educational,38,31,69,1,3,,,,
111,27250108001,ZPPS THAKARWADI,THAKARWADI,Primary,Local body,Rural,Co-Educational,32,17,49,2,0,,,,
112,27250109001,ZPPS DIMBE BU,DIMBE BU,Primary,Local body,Rural,Co-Educational,25,20,45,2,0,,,,
113,27250109402,SHARADCHANDRAJI PAWAR SCH DIMB,DIMBE KHU,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,87,88,175,5,1,,,,
114,27250109401,ZPPS DIMBE KHU,DIMBE KHU,Primary,Local body,Rural,Co-Educational,24,23,47,2,0,,,,
115,27250109606,GOVT. ASHRAM SCH,GOHE BH,Pr. with Up.Pr. & sec./H.Sec.,Tribal/Social Welfare Dept.,Rural,Co-Educational,164,189,353,9,2,,,,
116,27250109604,ZPPS DANGATWADI,GOHE BH,Primary,Local body,Rural,Co-Educational,14,9,23,2,0,,,,
117,27250109601,ZPPS GOHE BU,GOHE BH,Primary with Upper Primary,Local body,Rural,Co-Educational,31,26,57,5,1,,,,
118,27250109603,ZPPS PADALWADI,GOHE BH,Primary,Local body,Rural,Co-Educational,8,8,16,2,0,,,,
119,27250109607,ZPPS SAYERKHALA,GOHE BH,Primary,Local body,Rural,Co-Educational,5,6,11,2,0,,,,
120,27250109605,ZPPS UPALWADI,GOHE BH,Primary,Local body,Rural,Co-Educational,16,9,25,2,0,,,,
121,27250109602,ZPPS VALMIKWADI,GOHE BH,Primary,Local body,Rural,Co-Educational,6,7,13,2,0,,,,
122,27250109704,NEW ENG SCH GOHE,GOHE KHR,No Response,Pvt. Aided,Rural,Co-Educational,14,10,24,5,0,,,,
123,27250109702,ZPPS GADEKARWADI,GOHE KHR,Primary,Local body,Rural,Co-Educational,3,8,11,1,1,,,,
124,27250109701,ZPPS GOHE KU,GOHE KHR,Primary with Upper Primary,Local body,Rural,Co-Educational,54,47,101,5,1,,,,
125,27250109703,ZPPS SHINGADEWADI,GOHE KHR,Primary,Local body,Rural,Co-Educational,14,10,24,2,0,,,,
126,27250109501,ZPPS MAPOLI,MAPOLI,Primary,Local body,Rural,Co-Educational,5,5,10,2,0,,,,
127,27250113803,NEW ENG SCH BHAWADI,BHAWADI,No Response,Pvt. Aided,Rural,Co-Educational,40,27,67,6,2,,,,
128,27250113801,ZPPS BHAVADI,BHAWADI,Primary with Upper Primary,Local body,Rural,Co-Educational,56,66,122,5,1,,,,
129,27250113802,ZPPS KUDALEWADI,BHAWADI,Primary,Local body,Rural,Co-Educational,19,13,32,1,1,,,,
130,27250114001,ZPPS KAREGAON,KAREGAON,Primary with Upper Primary,Local body,Rural,Co-Educational,74,77,151,2,5,,,,
131,27250114202,ZPPS GANESH NAGAR,KOLHARWADI,Primary,Local body,Rural,Co-Educational,11,9,20,2,0,,,,
132,27250114201,ZPPS KOLHARWADI,KOLHARWADI,Primary,Local body,Rural,Co-Educational,14,11,25,2,0,,,,
133,27250114104,NEW ENGLISH SCHOOL KURWANDI,KURWANDI,No Response,Pvt. Aided,Rural,Co-Educational,24,26,50,5,0,,,,
134,27250114103,ZPPS GATEWADI,KURWANDI,Primary,Local body,Rural,Co-Educational,3,3,6,0,2,,,,
135,27250114101,ZPPS KURWANDI,KURWANDI,Primary with Upper Primary,Local body,Rural,Co-Educational,105,82,187,8,2,,,,
136,27250114102,ZPPS MATEWADI,KURWANDI,Primary,Local body,Rural,Co-Educational,11,22,33,2,0,,,,
137,27250103004,NAVKHAND HIGH SCH,PARGAON TARPHE KHED,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,129,136,265,4,2,,,,
138,27250103003,ZPPS GANGEWADI,PARGAON TARPHE KHED,Primary,Local body,Rural,Co-Educational,25,14,39,2,0,,,,
139,27250103002,ZPPS MALIMALA,PARGAON TARPHE KHED,Primary,Local body,Rural,Co-Educational,17,13,30,2,0,,,,
140,27250103001,ZPPS PARGAON TARPHE KHED,PARGAON TARPHE KHED,Primary,Local body,Rural,Co-Educational,78,73,151,2,3,,,,
141,27250102804,ANU JATI NAVBAU BOYS NIV SCH PETH,PETH,Upper Primary only,Tribal/Social Welfare Dept.,Rural,Boys only,47,0,47,3,0,,,,
142,27250102802,NIVRUTISHETH DAGI PAVLE VIDYA,PETH,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,257,197,454,7,5,,,,
143,27250102803,SH WAKESHWAR ENG MIDIUM SCHOOL PETH,PETH,Primary,Pvt. Unaided,Rural,Co-Educational,43,24,67,2,4,,,,
144,27250102801,ZPPS PRTH,PETH,Primary with Upper Primary,Local body,Rural,Co-Educational,168,147,315,3,9,,,,
145,27250102901,ZPPS SHREERAMNAGAR,SHREERAMNAGAR,Primary,Local body,Rural,Co-Educational,12,15,27,1,1,,,,
146,27250113901,ZPPS THUGAON,THUGAON,Primary with Upper Primary,Local body,Rural,Co-Educational,90,70,160,2,4,,,,
147,27250111202,ZPPS DIGAD,KUSHIRE BU,Primary,Local body,Rural,Co-Educational,4,2,6,1,0,,,,
148,27250111201,ZPPS SCHOOL KUSHIRE BU,KUSHIRE BU,Primary,Local body,Rural,Co-Educational,6,6,12,1,0,,,,
149,27250111302,ZPPS BHOIRWADI,KUSHIRE KHU,Primary,Local body,Rural,Co-Educational,9,7,16,1,0,,,,
150,27250111601,ZPPS MEGHOLI,MEGHOLI,Primary,Local body,Rural,Co-Educational,2,3,5,1,0,,,,
151,27250113202,ZPPS DHAKEWADI,NANWADE,Primary,Local body,Rural,Co-Educational,1,2,3,1,0,,,,
152,27250113203,ZPPS FANASWADI,NANWADE,Primary,Local body,Rural,Co-Educational,2,6,8,1,0,,,,
153,27250113201,ZPPS NANWADE,NANWADE,Primary,Local body,Rural,Co-Educational,6,6,12,1,1,,,,
154,27250111701,ZPPS PATAN,PATAN,Primary,Local body,Rural,Co-Educational,7,2,9,1,0,,,,
155,27250111901,ZPPS PIMPRI,PIMPARI,Primary,Local body,Rural,Co-Educational,8,13,21,2,0,,,,
156,27250107601,ZPPS CHINCHODI (DESHPANDE),CHICHODI (DESHPANDE),Primary,Local body,Rural,Co-Educational,13,12,25,2,0,,,,
157,27250102401,ZPPS NIGHOTWADI,NIGHOTWADI,Primary with Upper Primary,Local body,Rural,Co-Educational,41,62,103,1,5,,,,
158,27250107704,NEW ENGLISH SCHOOL LANDEWADI,SHEWALWADI-LANDEWADI,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Rural,Co-Educational,599,372,971,2,14,,,,
159,27250107705,SHIVAJIRAO THE AADHLRAO PRI VI,SHEWALWADI-LANDEWADI,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,159,125,284,5,0,,,,
160,27250107703,ZPPS KOLWADI,SHEWALWADI-LANDEWADI,Primary,Local body,Rural,Co-Educational,17,27,44,1,1,,,,
161,27250107701,ZPPS LANDEWADI,SHEWALWADI-LANDEWADI,Primary with Upper Primary,Local body,Rural,Co-Educational,121,103,224,2,7,,,,
162,27250107702,ZPPS SHEWALWADI,SHEWALWADI-LANDEWADI,Primary,Local body,Rural,Co-Educational,15,9,24,1,1,,,,
163,27250103201,ZPPS SULTANPUR,SULTANPUR,Primary,Local body,Rural,Co-Educational,15,16,31,1,1,,,,
164,27250103301,ZPPS WADGAON KASHINBEG,VADGAON KASHIMBE,Primary with Upper Primary,Local body,Rural,Co-Educational,92,114,206,5,2,,,,
165,27250103401,ZPPS VALUNJWADI,VALUNJWADI,Primary,Local body,Rural,Co-Educational,25,24,49,1,1,,,,
166,27250100102,VIDYA VIKAS HIGH SCH AVSARI BU,AWASARI BU,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,465,294,759,16,7,,,,
167,27250100101,ZPPS AVSARI BU,AWASARI BU,Primary,Local body,Rural,Co-Educational,172,155,327,3,7,,,,
168,27250102101,ZPPS BHARADI,BHARADI,Primary with Upper Primary,Local body,Rural,Co-Educational,92,72,164,6,4,,,,
169,27250100202,HIRKANI VIDY,GAWADEWADI,No Response,Pvt. Aided,Rural,Co-Educational,22,18,40,3,1,,,,
170,27250100201,ZPPS GAVDEWADI,GAWADEWADI,Primary with Upper Primary,Local body,Rural,Co-Educational,153,133,286,4,6,,,,
171,27250102001,ZPPS JAVALE,JAVLE,Primary with Upper Primary,Local body,Rural,Co-Educational,72,60,132,2,5,,,,
172,27250100402,ZPPS GAVARMALA,MEGADEWADI,Primary,Local body,Rural,Co-Educational,14,13,27,1,1,,,,
173,27250100401,ZPPS MEGADEWADI,MEGADEWADI,Primary with Upper Primary,Local body,Rural,Co-Educational,85,70,155,4,3,,,,
174,27250100504,PANDIT JAVAHARLAL NEHARU VIDY,NIRGUDSAR,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,212,202,414,9,5,,,,
175,27250100503,ZPPS BELSARWADI,NIRGUDSAR,Primary,Local body,Rural,Co-Educational,19,19,38,2,0,,,,
176,27250100501,ZPPS NIRGUDSAR,NIRGUDSAR,Primary,Local body,Rural,Co-Educational,106,107,213,3,4,,,,
177,27250100502,ZPPS VALSEMALA,NIRGUDSAR,Primary,Local body,Rural,Co-Educational,25,24,49,2,0,,,,
178,27250100301,ZPPS TAVHEREWADI,TAVHERWADI,Primary,Local body,Rural,Co-Educational,30,28,58,1,1,,,,
179,27250102209,DR MUMTAJ AHMADKHAN URDU HIGH.,MANCHAR,Up. Primary with sec./H.sec,Pvt. Aided,Urban,Co-Educational,51,81,132,2,5,,,,
180,27250102206,MAHATMA GANDHI PRI VID.,MANCHAR,Primary,Pvt. Aided,Urban,Co-Educational,299,260,559,3,5,,,,
181,27250102207,MAHATMA GANDHI VID. MANCHAR,MANCHAR,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,682,558,1240,16,15,,,,
182,27250102210,NALANDE E MID SCH MANCHAR,MANCHAR,Pr. with Up.Pr. & sec./H.Sec.,Pvt. Unaided,Rural,Co-Educational,476,276,752,3,8,,,,
183,27250102205,ZPPS LONDHEMALA,MANCHAR,Primary,Local body,Rural,Co-Educational,69,84,153,1,3,,,,
184,27250102201,ZPPS MANCHAR NO 1,MANCHAR,Primary with Upper Primary,Local body,Rural,Co-Educational,174,24,198,3,5,,,,
185,27250102203,ZPPS MANCHAR NO 3,MANCHAR,Primary,Local body,Rural,Girls only,0,107,107,0,3,,,,
186,27250102204,ZPPS MULEWADI,MANCHAR,Primary,Local body,Rural,Co-Educational,36,48,84,0,3,,,,
187,27250102202,ZPPS URDU SCHOOL NO 2,MANCHAR,Primary,Local body,Urban,Co-Educational,21,68,89,2,1,,,,
188,27250102302,ZPPS BHEKEMALA,MORADEWADI,Primary,Local body,Rural,Co-Educational,7,6,13,2,0,,,,
189,27250102303,ZPPS MORDEWADI,MORADEWADI,Primary with Upper Primary,Local body,Rural,Co-Educational,144,131,275,2,8,,,,
190,27250102403,ZPPS DASTURWADI,NIGHOTWADI,Primary,Local body,Rural,Co-Educational,15,12,27,2,0,,,,
191,27250102402,ZPPS LANDKMAL,NIGHOTWADI,Primary,Local body,Rural,Co-Educational,22,14,36,2,0,,,,
192,27250102501,SHEWALWADI,SHEWALWADI,Primary,Local body,Rural,Co-Educational,18,13,31,2,0,,,,
193,27250102502,ZPPS MANIPUR,SHEWALWADI,Primary,Local body,Rural,Co-Educational,31,19,50,0,2,,,,
194,27250108802,NEW MARATHI VIDY AMBEGAON,AMBEGAON VASAHAT,No Response,Pvt. Aided,Rural,Co-Educational,27,19,46,4,1,,,,
195,27250108801,ZPPS AMBEGAON VASAHAT,AMBEGAON VASAHAT,Primary,Local body,Rural,Co-Educational,58,64,122,1,3,,,,
196,27250105706,GOVT ASRAM NIVASI SCHOOL GHODEGAON,GHODEGAON,Primary,Tribal/Social Welfare Dept.,Rural,Co-Educational,84,62,146,2,3,,,,
197,27250105704,JANTA VIDY MANDIR,GHODEGAON,Up. Primary with sec./H.sec,Pvt. Aided,Rural,Co-Educational,334,252,586,12,7,,,,
198,27250105705,"NEW ENGLISH MEDIUM SCHOOL, GHO",GHODEGAON,Primary with Upper Primary,Pvt. Unaided,Rural,Co-Educational,219,128,347,1,7,,,,
199,27250105701,ZPPS GHODEGAON NO 1,GHODEGAON,Primary,Local body,Rural,Co-Educational,108,119,227,2,6,,,,
200,27250105703,ZPPS PARANDA,GHODEGAON,Primary,Local body,Rural,Co-Educational,21,19,40,1,1,,,,
201,27250106201,ZPPS KOLWADI,KOLWADI/KOTAMDARA,Primary,Local body,Rural,Co-Educational,30,29,59,2,0,,,,
202,27250106202,ZPPS KOTAMDARA,KOLWADI/KOTAMDARA,Primary with Upper Primary,Local body,Rural,Co-Educational,52,32,84,2,5,,,,
203,27250107501,ZPPS LANDEWADI,LANDEWADI/PINGALWADI,Primary,Local body,Rural,Co-Educational,24,26,50,0,2,,,,
204,27250107502,ZPPS PINGALWADI,LANDEWADI/PINGALWADI,Primary,Local body,Rural,Co-Educational,13,11,24,2,0,,,,
